Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-Tsubulata_014469	-	JAKUCV010000001.1	+	7571	10654	89.915192	33.727463	68.424759
gene-Tsubulata_014470	-	JAKUCV010000001.1	-	12003	12605	83.842453	31.449556	63.803452
gene-Tsubulata_014471	-	JAKUCV010000001.1	+	17520	20265	1.713799	0.642851	1.304188
gene-Tsubulata_014472	AVT6E	JAKUCV010000001.1	-	23234	24730	74.258514	27.854593	56.510147
gene-Tsubulata_014473	TPR1_1	JAKUCV010000001.1	+	38818	46841	130.361008	48.898808	99.203705
gene-Tsubulata_014476	-	JAKUCV010000001.1	-	63970	70364	117.269722	43.988228	89.241341
gene-Tsubulata_014478	-	JAKUCV010000001.1	+	75982	80274	88.006561	33.011524	66.972305
gene-Tsubulata_014483	-	JAKUCV010000001.1	+	89245	93457	0.190351	0.071401	0.144856
gene-Tsubulata_014480	-	JAKUCV010000001.1	+	83031	86287	1.864985	0.699561	1.419239
gene-Tsubulata_014481	-	JAKUCV010000001.1	-	85922	86521	17.183018	6.445402	13.076142
gene-Tsubulata_014479	RPL8_2	JAKUCV010000001.1	+	80839	82785	566.463013	212.481995	431.073944
gene-Tsubulata_014485	RH35_2	JAKUCV010000001.1	+	96128	97891	156.666946	58.766247	119.222321
gene-Tsubulata_014486	-	JAKUCV010000001.1	-	100546	102341	61.107346	22.921551	46.502209
gene-Tsubulata_014487	-	JAKUCV010000001.1	+	103446	104969	5.033050	1.887912	3.830112
gene-Tsubulata_014488	TYRAAT2_1	JAKUCV010000001.1	-	106487	107653	77.889458	29.216570	59.273266
gene-Tsubulata_014489	-	JAKUCV010000001.1	-	109363	113989	755.138672	283.254791	574.654602
gene-Tsubulata_014494	-	JAKUCV010000001.1	+	153274	153894	5.433172	2.037999	4.134601
gene-Tsubulata_014491	-	JAKUCV010000001.1	+	128028	130847	199.730667	74.919571	151.993484
gene-Tsubulata_014492	-	JAKUCV010000001.1	-	130827	133700	0.439951	0.165027	0.334799
gene-Tsubulata_014495	-	JAKUCV010000001.1	-	155799	168533	28.076405	10.531544	21.365923
gene-Tsubulata_014498	-	JAKUCV010000001.1	+	176012	180405	23.623278	8.861163	17.977129
gene-Tsubulata_028724	-	JAKUCV010000002.1	+	4788	9310	50.006489	18.757584	38.054546
gene-Tsubulata_028725	-	JAKUCV010000002.1	+	10192	12050	51.347729	19.260689	39.075218
gene-Tsubulata_028726	-	JAKUCV010000002.1	-	14811	15653	22.651838	8.496773	17.237871
gene-Tsubulata_028727	MYB26	JAKUCV010000002.1	-	15884	16322	27.529963	10.326572	20.950085
gene-Tsubulata_028728	-	JAKUCV010000002.1	-	25545	27792	8.454208	3.171199	6.433586
gene-Tsubulata_028729	-	JAKUCV010000002.1	+	28654	29190	31.267326	11.728468	23.794189
gene-Tsubulata_028730	-	JAKUCV010000002.1	+	30706	33998	5.650391	2.119479	4.299903
gene-Tsubulata_028731	COAC1_2	JAKUCV010000002.1	-	33129	36401	0.946609	0.355076	0.720362
gene-Tsubulata_028732	-	JAKUCV010000002.1	+	36609	40060	79.994232	30.006079	60.874985
gene-Tsubulata_028735	ALA4	JAKUCV010000002.1	+	52469	59000	30.517061	11.447042	23.223246
gene-Tsubulata_028743	-	JAKUCV010000002.1	+	90660	92519	0.000000	0.000000	0.000000
gene-Tsubulata_028742	PDAT1_3	JAKUCV010000002.1	+	88879	89539	32.204414	12.079973	24.507307
gene-Tsubulata_022987	-	JAKUCV010000003.1	+	4188	20558	0.000000	0.000000	0.000000
gene-Tsubulata_028736	CKL2_2	JAKUCV010000002.1	+	59760	64314	165.815018	62.197716	126.183937
gene-Tsubulata_022991	-	JAKUCV010000003.1	-	74040	84113	0.000000	0.000000	0.000000
gene-Tsubulata_022992	-	JAKUCV010000003.1	-	84150	85817	0.000000	0.000000	0.000000
gene-Tsubulata_023000	-	JAKUCV010000003.1	-	114500	123440	0.000000	0.000000	0.000000
gene-Tsubulata_022990	-	JAKUCV010000003.1	+	46482	73099	0.607208	0.227766	0.462081
gene-Tsubulata_947192	-	JAKUCV010000005.1	+	3280	5626	3.333333	1.250343	2.536640
gene-Tsubulata_047192	-	JAKUCV010000005.1	+	14101	21544	17.274353	6.479662	13.145648
gene-Tsubulata_047193	-	JAKUCV010000005.1	+	23066	23386	33.456387	12.549591	25.460049
gene-Tsubulata_047738	-	JAKUCV010000006.1	+	14196	18843	2.483775	0.931672	1.890133
gene-Tsubulata_047739	-	JAKUCV010000006.1	-	14206	16292	0.013274	0.004979	0.010101
gene-Tsubulata_012426	-	JAKUCV010000008.1	+	2234	5394	49.661480	18.628172	37.791996
gene-Tsubulata_012427	-	JAKUCV010000008.1	+	6519	16398	75.713623	28.400410	57.617474
gene-Tsubulata_012428	LOS1_1	JAKUCV010000008.1	+	17974	21688	604.577271	226.778763	460.078583
gene-Tsubulata_012429	-	JAKUCV010000008.1	+	24377	35529	0.000000	0.000000	0.000000
gene-Tsubulata_012430	-	JAKUCV010000008.1	+	35657	42787	0.000000	0.000000	0.000000
gene-Tsubulata_012431	LOS1_2	JAKUCV010000008.1	-	47695	51839	505.006134	189.429321	384.305725
gene-Tsubulata_012432	-	JAKUCV010000008.1	+	61168	64442	47.185875	17.699564	35.908081
gene-Tsubulata_012433	-	JAKUCV010000008.1	+	65214	65783	0.000000	0.000000	0.000000
gene-Tsubulata_012434	-	JAKUCV010000008.1	-	70645	75065	4.129348	1.548931	3.142401
gene-Tsubulata_012435	-	JAKUCV010000008.1	-	80304	87409	14.717847	5.520709	11.200167
gene-Tsubulata_012436	-	JAKUCV010000008.1	-	96005	97429	34.887764	13.086506	26.549314
gene-Tsubulata_012438	-	JAKUCV010000008.1	-	99984	107249	12.370274	4.640127	9.413682
gene-Tsubulata_012439	-	JAKUCV010000008.1	+	114666	118830	69.425171	26.041590	52.832008
gene-Tsubulata_012440	EIF62	JAKUCV010000008.1	+	122256	124796	251.602112	94.376709	191.467239
gene-Tsubulata_012441	MPT1_1	JAKUCV010000008.1	-	124854	127843	22.638472	8.491758	17.227699
gene-Tsubulata_012443	-	JAKUCV010000008.1	-	128995	133646	0.000000	0.000000	0.000000
gene-Tsubulata_012444	-	JAKUCV010000008.1	+	135403	139678	90.387283	33.904541	68.784012
gene-Tsubulata_012445	-	JAKUCV010000008.1	+	140548	143492	40.032463	15.016298	30.464392
gene-Tsubulata_012447	-	JAKUCV010000008.1	-	144640	145272	10.007898	3.753993	7.615932
gene-Tsubulata_012448	MLO10	JAKUCV010000008.1	-	149466	155491	32.344299	12.132444	24.613758
gene-Tsubulata_012450	-	JAKUCV010000008.1	-	164849	167135	0.927452	0.347890	0.705784
gene-Tsubulata_024728	-	JAKUCV010000012.1	-	109399	111504	3.449283	1.293836	2.624877
